at,organization,endpoints,cache_metered,cache_percent
2025-08-13T20:19:21.211Z,AI21,2,0,0.0
2025-08-13T20:19:21.211Z,AionLabs,3,0,0.0
2025-08-13T20:19:21.211Z,Alibaba,11,3,27.272727272727273
2025-08-13T20:19:21.211Z,Amazon Bedrock,10,5,50.0
2025-08-13T20:19:21.211Z,Anthropic,11,11,100.0
2025-08-13T20:19:21.211Z,AtlasCloud,3,0,0.0
2025-08-13T20:19:21.211Z,Avian,1,0,0.0
2025-08-13T20:19:21.211Z,Azure,13,2,15.384615384615385
2025-08-13T20:19:21.211Z,BaseTen,8,0,0.0
2025-08-13T20:19:21.211Z,Cerebras,10,0,0.0
2025-08-13T20:19:21.211Z,Chutes,77,0,0.0
2025-08-13T20:19:21.211Z,Cloudflare,12,0,0.0
2025-08-13T20:19:21.211Z,Cohere,9,0,0.0
2025-08-13T20:19:21.211Z,Crusoe,4,0,0.0
2025-08-13T20:19:21.211Z,DeepInfra,67,0,0.0
2025-08-13T20:19:21.211Z,DeepSeek,2,2,100.0
2025-08-13T20:19:21.211Z,Enfer,7,0,0.0
2025-08-13T20:19:21.211Z,Featherless,5,0,0.0
2025-08-13T20:19:21.211Z,Fireworks,17,0,0.0
2025-08-13T20:19:21.211Z,Friendli,8,0,0.0
2025-08-13T20:19:21.211Z,GMICloud,9,0,0.0
2025-08-13T20:19:21.211Z,Google,36,28,77.77777777777777
2025-08-13T20:19:21.211Z,Google AI Studio,17,10,58.8235294117647
2025-08-13T20:19:21.211Z,Groq,13,0,0.0
2025-08-13T20:19:21.211Z,Hyperbolic,18,0,0.0
2025-08-13T20:19:21.211Z,Inception,2,0,0.0
2025-08-13T20:19:21.211Z,InferenceNet,6,0,0.0
2025-08-13T20:19:21.211Z,Infermatic,7,0,0.0
2025-08-13T20:19:21.211Z,Inflection,2,0,0.0
2025-08-13T20:19:21.211Z,Lambda,19,0,0.0
2025-08-13T20:19:21.211Z,Liquid,2,0,0.0
2025-08-13T20:19:21.211Z,Mancer 2,7,0,0.0
2025-08-13T20:19:21.211Z,Minimax,3,0,0.0
2025-08-13T20:19:21.211Z,Mistral,25,0,0.0
2025-08-13T20:19:21.211Z,Moonshot AI,1,1,100.0
2025-08-13T20:19:21.211Z,Morph,2,0,0.0
2025-08-13T20:19:21.211Z,NCompass,2,0,0.0
2025-08-13T20:19:21.211Z,Nebius,33,0,0.0
2025-08-13T20:19:21.211Z,NextBit,19,0,0.0
2025-08-13T20:19:21.211Z,Nineteen,5,0,0.0
2025-08-13T20:19:21.211Z,Novita,45,0,0.0
2025-08-13T20:19:21.211Z,OpenAI,36,21,58.333333333333336
2025-08-13T20:19:21.211Z,OpenInference,2,0,0.0
