first_observed_month,endpoints,initial_cache_metered,initial_cache_percent,initial_inventory_included
2025-08,813,100,12.300123001230013,True
2025-09,140,21,15.0,False
2025-10,122,10,8.19672131147541,False
2025-11,68,13,19.11764705882353,False
2025-12,86,14,16.27906976744186,False
2026-01,76,21,27.63157894736842,False
2026-02,95,34,35.78947368421053,False
2026-03,96,53,55.208333333333336,False
2026-04,182,103,56.59340659340659,False
2026-05,113,57,50.442477876106196,False
2026-06,144,103,71.52777777777777,False
2026-07,237,190,80.16877637130801,False
2026-08,387,327,84.49612403100775,False
2026-09,84,76,90.47619047619048,False
