model_id,provider_tag,organization,endpoint_id,from_at,to_at,direction,before,after
moonshotai/kimi-k2,groq,Groq,21b953bc-972a-404d-87ab-3c4860e45bb2,2025-08-21T00:00:00.000Z,2025-08-22T00:00:00.000Z,metered,,5E-7
openai/gpt-oss-20b,groq,Groq,60654a45-42cc-48ee-8b1d-47bd44d0ecb0,2025-10-06T00:00:00.000Z,2025-10-07T00:00:00.000Z,metered,,5E-8
z-ai/glm-4.6,novita/bf16,Novita,562fe77f-c92f-4556-b43b-ea7da6891b6a,2025-10-11T00:00:00.000Z,2025-10-12T00:00:00.000Z,metered,,1.1E-7
z-ai/glm-4.5,novita/fp8,Novita,e4ada6ec-12e7-49c9-837c-398dee612403,2025-10-14T00:00:00.000Z,2025-10-15T00:00:00.000Z,metered,,1.1E-7
z-ai/glm-4.5v,novita/fp8,Novita,30f10717-f218-430f-a3d7-858bf5fdf303,2025-10-14T00:00:00.000Z,2025-10-15T00:00:00.000Z,metered,,1.1E-7
openai/gpt-oss-120b,groq,Groq,900c5273-4931-4e9f-bb52-57935dd154b4,2025-10-16T00:00:00.000Z,2025-10-17T00:00:00.000Z,metered,,7.5E-8
deepseek/deepseek-chat-v3-0324,novita/fp8,Novita,3a816eb8-7a0b-4a9a-b497-e3a1efb349fc,2025-10-16T00:00:00.000Z,2025-10-17T00:00:00.000Z,metered,,1.35E-7
z-ai/glm-4.6,deepinfra/fp4,DeepInfra,c8607edc-8577-4199-b03d-1213da4743dc,2025-10-17T00:00:00.000Z,2025-10-18T00:00:00.000Z,metered,,1.1E-7
deepseek/deepseek-chat-v3-0324,crusoe/fp8,Crusoe,eb0625b2-17a1-492d-b3cc-e35091f1431d,2025-10-20T00:00:00.000Z,2025-10-21T00:00:00.000Z,metered,,1.4E-7
meta-llama/llama-3.3-70b-instruct,crusoe/bf16,Crusoe,4625027b-9188-4d61-b21a-ae6808bd4e5d,2025-10-20T00:00:00.000Z,2025-10-21T00:00:00.000Z,metered,,7E-8
qwen/qwen3-30b-a3b,crusoe/bf16,Crusoe,8e0b24a0-7224-4e6c-829d-c893e906c9cd,2025-10-20T00:00:00.000Z,2025-10-21T00:00:00.000Z,metered,,5E-8
google/gemma-3-12b-it,crusoe/bf16,Crusoe,5aef2a85-3d1c-4659-a522-98bbb5272c6a,2025-10-20T00:00:00.000Z,2025-10-21T00:00:00.000Z,metered,,3E-8
openai/gpt-oss-120b,crusoe/bf16,Crusoe,8f702706-9cea-47ce-8fc1-e57204ef491c,2025-10-20T00:00:00.000Z,2025-10-21T00:00:00.000Z,metered,,8E-8
amazon/nova-premier-v1,amazon-bedrock,Amazon Bedrock,6e4da481-6c8d-45d0-a3f5-11a9ba527485,2025-11-01T00:00:00.000Z,2025-11-02T00:00:00.000Z,metered,,6.25E-7
anthropic/claude-sonnet-4.5,google-vertex/us-east5,Google,83c3ce47-c679-4cb1-9e21-a5defad78b61,2025-11-07T00:00:00.000Z,2025-11-08T00:00:00.000Z,metered,,3E-7
