model_id,provider_tag,uuids,identical_effective_pricing,endpoint_ids,pricing_json
openai/gpt-oss-120b,baseten/fp4,2,True,000e507a-4d52-4dee-927a-8ece3a7b0c28;8727923e-c4b6-4dac-b5d5-6f2238b35a25,"[{""discount"": 0.0, ""meters"": {""completion"": ""5E-7"", ""input_cache_read"": ""1E-7"", ""prompt"": ""1E-7""}}, {""discount"": 0.0, ""meters"": {""completion"": ""5E-7"", ""input_cache_read"": ""1E-7"", ""prompt"": ""1E-7""}}]"
qwen/qwen3-235b-a22b-2507,google-vertex/us-south1,2,False,5369c603-15de-42f2-95d3-1e9559206ff9;89b84b73-e965-4777-a728-3421dfaefcbe,"[{""discount"": 0.0, ""meters"": {""completion"": ""8.8E-7"", ""prompt"": ""2.2E-7""}}, {""discount"": 0.0, ""meters"": {""completion"": ""0.000001"", ""prompt"": ""2.5E-7""}}]"
moonshotai/kimi-k2.6,baseten/fp4,2,True,85421399-264f-405d-9ad9-67835b01a3e0;8ef401c9-419b-4d2c-9dee-dacf8ee5d6f6,"[{""discount"": 0.0, ""meters"": {""completion"": ""0.000004"", ""input_cache_read"": ""1.6E-7"", ""prompt"": ""9.5E-7""}}, {""discount"": 0.0, ""meters"": {""completion"": ""0.000004"", ""input_cache_read"": ""1.6E-7"", ""prompt"": ""9.5E-7""}}]"
deepseek/deepseek-v4-pro,baseten/fp4,2,True,115fa517-477f-4b89-9d4d-a036cf9d2c32;349baf29-4833-4f15-8313-bf17b7b7b37a,"[{""discount"": 0.0, ""meters"": {""completion"": ""0.00000348"", ""input_cache_read"": ""1.45E-7"", ""prompt"": ""0.00000174""}}, {""discount"": 0.0, ""meters"": {""completion"": ""0.00000348"", ""input_cache_read"": ""1.45E-7"", ""prompt"": ""0.00000174""}}]"
z-ai/glm-5.2,baseten/fp8,2,True,78c8ae59-a960-4a40-bb26-0c94381848c9;cd46df79-a451-442a-8522-77b509c7dd8d,"[{""discount"": 0.0, ""meters"": {""completion"": ""0.0000044"", ""input_cache_read"": ""1.4E-7"", ""prompt"": ""0.0000014""}}, {""discount"": 0.0, ""meters"": {""completion"": ""0.0000044"", ""input_cache_read"": ""1.4E-7"", ""prompt"": ""0.0000014""}}]"
nvidia/nemotron-3-ultra-550b-a55b,baseten/fp4,2,True,9c07a229-5887-471b-ba3f-174838d8d44a;e3762805-f8b2-46e6-ba1e-acd877fc6cd3,"[{""discount"": 0.0, ""meters"": {""completion"": ""0.0000024"", ""input_cache_read"": ""1.2E-7"", ""prompt"": ""6E-7""}}, {""discount"": 0.0, ""meters"": {""completion"": ""0.0000024"", ""input_cache_read"": ""1.2E-7"", ""prompt"": ""6E-7""}}]"
thinkingmachines/inkling,baseten/fp8,2,True,691c185e-aaed-4f04-aa1e-69cba3df74ea;ba2df08c-c0a0-4e0e-9f31-d79a9c475b70,"[{""discount"": 0.0, ""meters"": {""completion"": ""0.00000405"", ""input_cache_read"": ""1.7E-7"", ""prompt"": ""0.000001""}}, {""discount"": 0.0, ""meters"": {""completion"": ""0.00000405"", ""input_cache_read"": ""1.7E-7"", ""prompt"": ""0.000001""}}]"
z-ai/glm-5.2,baseten/fast,2,True,4c134f42-ca48-4e2b-9668-3b7f118f90ba;cec37412-e6c6-4859-8b2c-a3f547f49178,"[{""discount"": 0.0, ""meters"": {""completion"": ""0.0000066"", ""input_cache_read"": ""2.1E-7"", ""prompt"": ""0.0000021""}}, {""discount"": 0.0, ""meters"": {""completion"": ""0.0000066"", ""input_cache_read"": ""2.1E-7"", ""prompt"": ""0.0000021""}}]"
deepseek/deepseek-v4-flash-0731,baseten/fp8,2,True,47a93b18-a9c6-485b-9a47-2afb6ca790dc;ceaae883-4cba-45dd-b986-5cd0e6bf06af,"[{""discount"": 0.0, ""meters"": {""completion"": ""2.6E-7"", ""input_cache_read"": ""2.8E-8"", ""prompt"": ""1.3E-7""}}, {""discount"": 0.0, ""meters"": {""completion"": ""2.6E-7"", ""input_cache_read"": ""2.8E-8"", ""prompt"": ""1.3E-7""}}]"
deepseek/deepseek-v4-pro-0813,baseten/fp4,2,True,85bb5a4a-983d-4d11-b97b-c7e5b348375f;bc1be763-ca65-4d43-84ff-5d6c16560713,"[{""discount"": 0.0, ""meters"": {""completion"": ""0.00000396"", ""input_cache_read"": ""1.32E-7"", ""prompt"": ""0.00000132""}}, {""discount"": 0.0, ""meters"": {""completion"": ""0.00000396"", ""input_cache_read"": ""1.32E-7"", ""prompt"": ""0.00000132""}}]"
