model_id,provider_tag,organization,endpoint_id,cohort,family,variant,prompt,all_meter_changes_30d,input_changes_30d,listed_days_30d,all_meter_changes_90d,input_changes_90d,listed_days_90d
aion-labs/aion-2.0,aion-labs,AionLabs,1e93b0bb-eb0f-49bc-8fda-947105413b86,misc,aion-labs,standard,8E-7,0,0,30.0,0,0,90.0
aion-labs/aion-3.0,aion-labs,AionLabs,8c8f827d-2bef-468a-8f9e-8e27b470de5e,misc,aion-labs,standard,0.000003,0,0,30.0,0,0,62.99310009259317
aion-labs/aion-3.0-mini,aion-labs,AionLabs,0ad7ab68-a351-4a96-b2ef-fa8fe13adae3,misc,aion-labs,standard,7E-7,0,0,30.0,0,0,62.99310009259317
aion-labs/aion-rp-llama-3.1-8b,aion-labs,AionLabs,fd456f92-a506-4249-8527-988e9c1d84b3,misc,aion-labs,standard,8E-7,0,0,30.0,0,0,90.0
amazon/nova-2-lite-v1,amazon-bedrock,Amazon Bedrock,b1b489e5-7029-4ab2-9e12-5415b55b4afa,other_hosted_candidates,amazon,standard,3E-7,0,0,30.0,0,0,90.0
amazon/nova-2-lite-v1,amazon-bedrock/eu-west-1,Amazon Bedrock,bccd64e6-206f-4723-a55e-25167dc4e253,other_hosted_candidates,amazon,standard,3E-7,0,0,30.0,0,0,90.0
amazon/nova-lite-v1,amazon-bedrock,Amazon Bedrock,72eda073-d180-4482-8e4f-81051cb66f7e,other_hosted_candidates,amazon,standard,6E-8,0,0,30.0,0,0,90.0
amazon/nova-lite-v1,amazon-bedrock/eu-west-1,Amazon Bedrock,908f5353-fba6-488c-8fd4-e9f041d32ac1,other_hosted_candidates,amazon,standard,6E-8,0,0,30.0,0,0,90.0
amazon/nova-micro-v1,amazon-bedrock,Amazon Bedrock,474f0074-66f9-42f0-a866-81a2ffebb001,other_hosted_candidates,amazon,standard,3.5E-8,0,0,30.0,0,0,90.0
amazon/nova-micro-v1,amazon-bedrock/eu-west-1,Amazon Bedrock,b2fd24f9-80a2-4d47-8b3b-209fbc345d69,other_hosted_candidates,amazon,standard,3.5E-8,0,0,30.0,0,0,90.0
