model_id,provider_tag,organization,endpoint_id,day,open,close,min,max,time_weighted_mean,same_open_close,extreme_outside_open_close
xiaomi/mimo-v2.5,deepinfra/fp8,DeepInfra,06ae9856-7905-4133-9974-4f21759fbe01,2026-08-27,4E-7,1.3E-7,1.3E-7,4E-7,1.468879531249403900462962962962962962962962962962962962962962962962962962962962962962962962962962963E-7,False,False
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-09-07,5.7948E-7,6.6E-7,5.7948E-7,0.00000112068,9.240141080040150248161111111111111111111111111111111111111111111111111111111111111111111111111111111E-7,False,True
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-09-06,5.7948E-7,5.7948E-7,5.7948E-7,0.00000112068,8.951796742774909901166666666666666666666666666666666666666666666666666666666666666666666666666666667E-7,True,True
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-09-05,5.7948E-7,5.7948E-7,5.7948E-7,0.00000112068,9.177291794317861792875E-7,True,True
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-09-04,6.6E-7,5.7948E-7,5.7948E-7,0.00000112068,9.168921656134287584777777777777777777777777777777777777777777777777777777777777777777777777777777778E-7,False,True
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-09-03,6.6E-7,6.6E-7,6.6E-7,0.0000011154,9.446163558327804056527777777777777777777777777777777777777777777777777777777777777777777777777777778E-7,True,True
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-09-02,6.6E-7,6.6E-7,6.6E-7,0.0000011154,9.288146663113136744444444444444444444444444444444444444444444444444444444444444444444444444444444444E-7,True,True
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-09-01,6.6E-7,6.6E-7,6.6E-7,0.0000011154,9.256498734991152677083333333333333333333333333333333333333333333333333333333333333333333333333333333E-7,True,True
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-08-31,5.7948E-7,6.6E-7,5.7948E-7,0.00000112068,9.210563394844896533777777777777777777777777777777777777777777777777777777777777777777777777777777778E-7,False,True
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-08-30,5.7948E-7,5.7948E-7,5.7948E-7,0.00000112068,8.95180544957664300775E-7,True,True
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-08-29,5.7948E-7,5.7948E-7,5.7948E-7,0.00000112068,8.951806013330585298208333333333333333333333333333333333333333333333333333333333333333333333333333333E-7,True,True
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-08-28,6.6E-7,5.7948E-7,5.7948E-7,0.0000011154,8.748058266292909742291666666666666666666666666666666666666666666666666666666666666666666666666666667E-7,False,True
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-08-27,6.6E-7,6.6E-7,6.6E-7,0.0000011154,9.256507906255026984722222222222222222222222222222222222222222222222222222222222222222222222222222222E-7,True,True
deepseek/deepseek-v4-pro-0813,streamlake,StreamLake,072c1c23-c069-4242-bb6d-1b30ca5f4eb8,2026-08-26,0.00000132,6.6E-7,6.6E-7,0.00000132,0.000001077757442896344593823611111111111111111111111111111111111111111111111111111111111111111111111111111,False,False
openai/gpt-oss-120b,akashml/bf16,AkashML,08a6dab7-09b5-4875-8f9b-f498f8f4173a,2026-08-25,3.7E-8,3E-8,3E-8,3.7E-8,3.422950702546095402777777777777777777777777777777777777777777777777777777777777777777777777777777778E-8,False,False
z-ai/glm-5.3,gmicloud/fp8,GMICloud,09113121-7385-4aab-80e7-64b64555bd23,2026-09-07,0.0000014,0.00000112,0.00000112,0.0000014,0.000001209457229166450363425925925925925925925925925925925925925925925925925925925925925925925925925925926,False,False
moonshotai/kimi-k2.7-code,streamlake,StreamLake,097b43e0-9746-4c41-8606-0636206ec985,2026-09-02,9.5E-7,7.125E-7,7.125E-7,9.5E-7,8.081705169272091753472222222222222222222222222222222222222222222222222222222222222222222222222222222E-7,False,False
google/gemma-4-26b-a4b-it,darkbloom,Darkbloom,0e9b72a2-e1eb-45bd-adc5-81f0f31e185f,2026-08-23,5E-8,4.2E-8,4.2E-8,5E-8,4.283371064815256527777777777777777777777777777777777777777777777777777777777777777777777777777777778E-8,False,False
