group,current_models,model_percent,current_endpoints,endpoint_percent,standard_model_ids,at_most_two_current_prompt_levels,median_current_prompt_levels,median_current_tags,all_meter_changes_7d,change_share_7d,input_changes_7d,core_changes_7d,zero_all_meter_models_7d,zero_input_models_7d,full_window_models_7d,full_window_zero_all_meter_models_7d,full_window_zero_input_models_7d,full_window_flat_two_level_models_7d,changes_per_100_endpoint_days_7d,all_meter_changes_30d,change_share_30d,input_changes_30d,core_changes_30d,zero_all_meter_models_30d,zero_input_models_30d,full_window_models_30d,full_window_zero_all_meter_models_30d,full_window_zero_input_models_30d,full_window_flat_two_level_models_30d,changes_per_100_endpoint_days_30d,zero_all_meter_current_endpoints_30d,all_meter_changes_90d,change_share_90d,input_changes_90d,core_changes_90d,zero_all_meter_models_90d,zero_input_models_90d,full_window_models_90d,full_window_zero_all_meter_models_90d,full_window_zero_input_models_90d,full_window_flat_two_level_models_90d,changes_per_100_endpoint_days_90d,zero_all_meter_current_endpoints_90d
Claude,27,6.585365853658536,105,8.287292817679559,15,25,1,1,0,0.0,0,0,27,27,26,26,26,24,0.0,0,0.0,0,0,27,27,25,25,25,23,0.0,105,73,1.8029142998271177,13,13,14,20,11,0,4,4,1.0165579330898433,54
DeepSeek,17,4.146341463414634,133,10.497237569060774,14,7,3,4,340,66.01941747572816,338,340,13,13,16,12,12,6,37.2211827044845,1260,59.21052631578947,1243,1260,11,11,12,7,7,3,34.65783394135805,89,1524,37.638923190911335,1490,1523,7,7,11,3,3,3,17.945888421629494,75
GLM,17,4.146341463414634,140,11.049723756906078,14,8,3,3,103,20.0,103,103,13,13,15,11,11,6,10.844324802083678,476,22.36842105263158,464,476,10,10,12,8,8,5,14.890672746573133,100,1614,39.861694245492714,1577,1614,8,8,10,5,5,4,19.308945611654053,85
GPT-OSS,5,1.2195121951219512,38,2.999210734017364,3,3,1,1,8,1.5533980582524272,8,8,3,3,5,3,3,3,2.973440259427185,33,1.550751879699248,33,33,3,3,3,1,1,1,3.1623288660592626,34,78,1.9264015806371944,74,78,2,3,3,0,1,1,2.55220479300899,28
Gemini,32,7.804878048780488,103,8.12943962115233,21,19,1.0,2.0,1,0.1941747572815534,1,1,31,31,30,29,29,17,0.1398275443474679,11,0.5169172932330827,7,7,28,28,28,26,26,16,0.5574697053978505,96,11,0.27167201778216843,7,7,28,28,14,14,14,5,0.26522358287210446,96
Gemma,9,2.1951219512195124,34,2.6835043409629047,6,4,1,1,0,0.0,0,0,9,9,9,9,9,4,0.0,6,0.2819548872180451,6,6,7,7,8,6,6,3,0.5514177949405017,31,73,1.8029142998271177,67,73,6,6,8,5,5,3,2.2664451096302383,26
Kimi,8,1.951219512195122,67,5.288082083662194,7,4,3.5,4.5,37,7.184466019417476,33,37,5,5,8,5,5,4,7.795514186728374,159,7.4718045112781954,149,159,4,4,7,3,3,3,8.153846263851428,52,272,6.717708076068165,242,272,4,4,5,3,3,3,5.354084801842841,34
Meta,15,3.658536585365854,43,3.393843725335438,14,11,2,2,0,0.0,0,0,15,15,13,13,13,8,0.0,6,0.2819548872180451,4,6,12,12,10,8,8,5,0.47994139478733683,40,11,0.27167201778216843,6,11,10,12,8,4,6,3,0.32802913160598235,37
Mistral,20,4.878048780487805,51,4.025256511444357,19,18,2.0,3.0,0,0.0,0,0,20,20,20,20,20,18,0.0,2,0.09398496240601503,2,2,18,18,18,17,17,15,0.18191350153573863,49,8,0.1975796492961225,8,8,18,18,18,17,17,12,0.28928283588638404,48
OpenAI proprietary,88,21.463414634146343,178,14.048934490923441,57,72,1.0,1.0,0,0.0,0,0,88,88,84,84,84,70,0.0,25,1.1748120300751879,21,21,80,80,55,49,49,41,0.569218573583876,161,61,1.5065448258829341,48,51,70,70,49,39,39,36,0.6037582003345585,149
Qwen,53,12.926829268292684,159,12.54932912391476,51,35,1,1,20,3.883495145631068,17,20,49,49,52,48,48,31,1.7956680082978407,62,2.9135338345864663,54,62,44,45,47,42,43,29,1.3244090248792357,140,146,3.6058285996542354,125,146,26,29,46,23,26,16,1.053845244950445,116
aion-labs,4,0.975609756097561,4,0.31570639305445936,4,4,1.0,1.0,0,0.0,0,0,4,4,4,4,4,4,0.0,0,0.0,0,0,4,4,4,4,4,4,0.0,4,0,0.0,0,0,4,4,2,2,2,2,0.0,4
amazon,5,1.2195121951219512,9,0.7103393843725335,5,5,1,2,0,0.0,0,0,5,5,5,5,5,5,0.0,0,0.0,0,0,5,5,5,5,5,5,0.0,9,0,0.0,0,0,5,5,5,5,5,5,0.0,9
anthracite-org,1,0.24390243902439024,1,0.07892659826361484,1,1,1,1,0,0.0,0,0,1,1,1,1,1,1,0.0,1,0.046992481203007516,1,1,0,0,1,0,0,0,3.3333333333333335,0,1,0.024697456162015314,1,1,0,0,1,0,0,0,1.1111111111111112,0
