cohort,days,metric,bin,models
deepseek_glm_kimi_qwen,30,input_changes,0,70
deepseek_glm_kimi_qwen,30,input_changes,1–2,7
deepseek_glm_kimi_qwen,30,input_changes,3–9,7
deepseek_glm_kimi_qwen,30,input_changes,10–49,4
deepseek_glm_kimi_qwen,30,input_changes,50+,7
deepseek_glm_kimi_qwen,30,all_meter_changes,0,69
deepseek_glm_kimi_qwen,30,all_meter_changes,1–2,8
deepseek_glm_kimi_qwen,30,all_meter_changes,3–9,7
deepseek_glm_kimi_qwen,30,all_meter_changes,10–49,4
deepseek_glm_kimi_qwen,30,all_meter_changes,50+,7
deepseek_glm_kimi_qwen,90,input_changes,0,48
deepseek_glm_kimi_qwen,90,input_changes,1–2,20
deepseek_glm_kimi_qwen,90,input_changes,3–9,11
deepseek_glm_kimi_qwen,90,input_changes,10–49,8
deepseek_glm_kimi_qwen,90,input_changes,50+,8
deepseek_glm_kimi_qwen,90,all_meter_changes,0,45
deepseek_glm_kimi_qwen,90,all_meter_changes,1–2,23
deepseek_glm_kimi_qwen,90,all_meter_changes,3–9,9
deepseek_glm_kimi_qwen,90,all_meter_changes,10–49,10
deepseek_glm_kimi_qwen,90,all_meter_changes,50+,8
major_labs,30,input_changes,0,135
major_labs,30,input_changes,1–2,6
major_labs,30,input_changes,3–9,6
major_labs,30,input_changes,10–49,0
major_labs,30,input_changes,50+,0
major_labs,30,all_meter_changes,0,135
major_labs,30,all_meter_changes,1–2,4
major_labs,30,all_meter_changes,3–9,8
major_labs,30,all_meter_changes,10–49,0
major_labs,30,all_meter_changes,50+,0
major_labs,90,input_changes,0,118
major_labs,90,input_changes,1–2,22
major_labs,90,input_changes,3–9,7
major_labs,90,input_changes,10–49,0
major_labs,90,input_changes,50+,0
major_labs,90,all_meter_changes,0,112
major_labs,90,all_meter_changes,1–2,16
major_labs,90,all_meter_changes,3–9,16
major_labs,90,all_meter_changes,10–49,3
major_labs,90,all_meter_changes,50+,0
meta_mistral,30,input_changes,0,30
meta_mistral,30,input_changes,1–2,5
meta_mistral,30,input_changes,3–9,0
meta_mistral,30,input_changes,10–49,0
meta_mistral,30,input_changes,50+,0
meta_mistral,30,all_meter_changes,0,30
meta_mistral,30,all_meter_changes,1–2,4
meta_mistral,30,all_meter_changes,3–9,1
meta_mistral,30,all_meter_changes,10–49,0
meta_mistral,30,all_meter_changes,50+,0
meta_mistral,90,input_changes,0,30
meta_mistral,90,input_changes,1–2,3
meta_mistral,90,input_changes,3–9,2
meta_mistral,90,input_changes,10–49,0
meta_mistral,90,input_changes,50+,0
meta_mistral,90,all_meter_changes,0,28
meta_mistral,90,all_meter_changes,1–2,4
meta_mistral,90,all_meter_changes,3–9,3
meta_mistral,90,all_meter_changes,10–49,0
meta_mistral,90,all_meter_changes,50+,0
misc,30,input_changes,0,50
misc,30,input_changes,1–2,9
misc,30,input_changes,3–9,4
misc,30,input_changes,10–49,1
misc,30,input_changes,50+,0
misc,30,all_meter_changes,0,50
misc,30,all_meter_changes,1–2,9
misc,30,all_meter_changes,3–9,4
misc,30,all_meter_changes,10–49,1
misc,30,all_meter_changes,50+,0
misc,90,input_changes,0,47
misc,90,input_changes,1–2,7
misc,90,input_changes,3–9,4
misc,90,input_changes,10–49,6
misc,90,input_changes,50+,0
misc,90,all_meter_changes,0,47
misc,90,all_meter_changes,1–2,6
misc,90,all_meter_changes,3–9,5
misc,90,all_meter_changes,10–49,5
misc,90,all_meter_changes,50+,1
open_weight_families,30,input_changes,0,37
open_weight_families,30,input_changes,1–2,5
open_weight_families,30,input_changes,3–9,2
open_weight_families,30,input_changes,10–49,1
open_weight_families,30,input_changes,50+,0
open_weight_families,30,all_meter_changes,0,35
open_weight_families,30,all_meter_changes,1–2,7
open_weight_families,30,all_meter_changes,3–9,2
open_weight_families,30,all_meter_changes,10–49,1
open_weight_families,30,all_meter_changes,50+,0
open_weight_families,90,input_changes,0,33
open_weight_families,90,input_changes,1–2,7
open_weight_families,90,input_changes,3–9,2
open_weight_families,90,input_changes,10–49,2
open_weight_families,90,input_changes,50+,1
open_weight_families,90,all_meter_changes,0,29
open_weight_families,90,all_meter_changes,1–2,11
open_weight_families,90,all_meter_changes,3–9,2
open_weight_families,90,all_meter_changes,10–49,1
open_weight_families,90,all_meter_changes,50+,2
other_hosted_candidates,30,input_changes,0,23
other_hosted_candidates,30,input_changes,1–2,1
other_hosted_candidates,30,input_changes,3–9,0
other_hosted_candidates,30,input_changes,10–49,0
other_hosted_candidates,30,input_changes,50+,0
other_hosted_candidates,30,all_meter_changes,0,23
other_hosted_candidates,30,all_meter_changes,1–2,1
other_hosted_candidates,30,all_meter_changes,3–9,0
other_hosted_candidates,30,all_meter_changes,10–49,0
other_hosted_candidates,30,all_meter_changes,50+,0
other_hosted_candidates,90,input_changes,0,22
other_hosted_candidates,90,input_changes,1–2,2
other_hosted_candidates,90,input_changes,3–9,0
other_hosted_candidates,90,input_changes,10–49,0
other_hosted_candidates,90,input_changes,50+,0
other_hosted_candidates,90,all_meter_changes,0,21
other_hosted_candidates,90,all_meter_changes,1–2,3
other_hosted_candidates,90,all_meter_changes,3–9,0
other_hosted_candidates,90,all_meter_changes,10–49,0
other_hosted_candidates,90,all_meter_changes,50+,0
