model_id,provider_tag,historical_uuids,current_uuids,endpoint_ids
anthropic/claude-3.5-sonnet,amazon-bedrock,2,0,0e1957b3-205b-49d5-8413-13af3f68676d;d4fb79bd-9786-4932-af81-b83040e9f4e4
anthropic/claude-3.5-sonnet,google-vertex,2,0,b50f37f6-fe47-40cc-b9b4-89b1d52e460a;d875e13d-9a69-4d43-af02-b8356db4964b
deepseek/deepseek-chat-v3-0324,gmicloud/fp8,3,1,2184755f-5cef-4df4-8afe-d4bf7f35d184;42383b7f-b355-4879-b615-191788e08606;5e298981-e6d6-4db4-8240-d3e16f205239
deepseek/deepseek-r1-0528,friendli,2,0,45dd60ea-13bb-4238-b0f9-8fb81945d579;e3c552a9-272b-462a-9c14-6367f4527621
deepseek/deepseek-r1-0528,google-vertex,2,0,59590bc4-9927-46fd-816c-afd66704d502;b52a5592-f0d6-4c53-98e6-90d9592b3bd8
deepseek/deepseek-r1-distill-qwen-32b,deepinfra/fp8,2,0,ce318fe0-48e0-444d-af14-08708e9e1f76;412eb973-02c5-45e3-8255-4c2bfa763338
google/gemma-3-12b-it,chutes/bf16,2,0,b566b0b0-dd63-457b-8fcd-e26042fc3901;3d994016-72a0-497c-a16a-22eff393ab2a
google/gemma-3-27b-it,nebius/fp8,2,1,db3af039-8c6e-4b32-bbf5-c858d644d1b5;d481286e-cef7-40c9-9e1c-d0548efde87e
gryphe/mythomax-l2-13b,parasail/fp16,2,1,42a49eaf-e12f-4438-92a1-f96f4c89dfcd;52570ba8-9b01-40b5-868b-d5aedd6ca00b
meta-llama/llama-3.3-70b-instruct,crusoe/bf16,2,1,4625027b-9188-4d61-b21a-ae6808bd4e5d;12cf24eb-5c21-4130-9bdb-d565c2158687
meta-llama/llama-4-maverick,fireworks,2,0,f69b9418-e7e5-4be5-93d3-40f010572fee;d260ee10-b8ae-420b-a458-c6f5fbc75eca
mistralai/mistral-7b-instruct-v0.2,together,2,0,ae921682-8673-4287-b3bd-459304097932;f2583ec3-cf43-4a91-8328-b22496daa629
mistralai/mistral-nemo,parasail/fp8,2,1,276630b1-dd85-4f51-acf2-85f7ffe76beb;0e9c6d0e-d8d9-4bdb-a33c-e54a7d3dfb4e
mistralai/mistral-small-3.1-24b-instruct,chutes/bf16,2,0,5f981bd9-b098-4757-b075-06d51d37cc65;0d3e24df-07f0-4c0a-b069-b2518daf469e
moonshotai/kimi-k2,parasail/fp8,2,0,3efff003-8dfd-4e9c-9ecf-0cd82005d865;0eef0bc5-ca0a-465e-9b90-0835dd5590df
nvidia/llama-3.1-nemotron-ultra-253b-v1,nebius/fp8,2,0,f4c50341-ced1-4d4f-afe6-8082c3f052bb;04be2010-c06b-45d2-93cc-1f682b5c3c3e
openai/gpt-oss-120b,baseten/fp4,2,2,000e507a-4d52-4dee-927a-8ece3a7b0c28;8727923e-c4b6-4dac-b5d5-6f2238b35a25
openai/gpt-oss-120b,cerebras/fp16,2,1,db01deeb-2ea4-42ef-b823-6f56d2b66fa1;20cbeb96-747f-42b6-a371-266a1bcd1e6c
openai/gpt-oss-120b,nebius/fp4,2,1,fec8a05d-b2aa-4bbd-adbf-fa688dfa984e;de9b9344-2116-44ea-b30a-fd9ec94b1157
qwen/qwen2.5-vl-72b-instruct,nebius/fp8,3,0,2fff2f07-5438-4dcd-854c-6a8ca11fd420;a9421fa6-cb68-4983-84d9-e3a021c616e3;c61ab1c0-3660-4391-8385-773c7a3d1de8
qwen/qwen2.5-vl-72b-instruct,chutes/bf16,2,0,50ee6c2d-6420-41b4-a422-af093517369b;f80f9c7d-2b54-4ee2-bb8f-c8a46fde38d2
qwen/qwen2.5-vl-72b-instruct,phala,2,0,cc87060b-0d48-4c13-aaf5-d452642af9f4;8f7231c7-21e4-4faa-9b60-dbf0911cab54
qwen/qwen3-235b-a22b-2507,gmicloud/fp8,3,1,bb2fd936-abcd-4e49-969b-794f36df13ab;4177c482-5348-4d94-81a3-35050fdd9166;7f8598e4-091b-424e-a9c2-158532af1537
qwen/qwen3-235b-a22b-2507,nebius/fp8,2,1,d115b865-d5c4-416d-b622-72afdef64698;60fe2e34-32d7-46f8-872b-fdfc5be25560
qwen/qwen3-235b-a22b-2507,chutes/bf16,2,0,d6217833-b879-48d1-8389-378109d3918f;af77bd14-30ac-489b-9d96-48366d2b7e6f
qwen/qwen3-235b-a22b-thinking-2507,alibaba,2,1,c9661e88-9787-48e5-b561-9140e0b87b42;f246192a-ff8f-4b6c-b2ac-62b3bd24c455
thedrummer/rocinante-12b,parasail/bf16,2,0,467df177-0c25-41ad-bb09-d25116309d19;b3f948bb-397c-4d34-bceb-188ac77c5d81
x-ai/grok-3-beta,xai,2,0,ac4e073c-740f-4e9f-9e38-bde83e4ab515;d401fcbe-8ed5-47ab-9630-b1222a174173
x-ai/grok-3-mini-beta,xai,2,0,6c813d93-eaa8-45ad-81f3-764339b47607;e1b8a32c-6b6b-456b-91c9-ede164b895ad
qwen/qwen3-coder,gmicloud/fp8,2,0,54e9e63d-f0fe-47b2-9a4e-2139d8bee601;025a21ba-d75d-4705-b8cd-de228d27d0fb
z-ai/glm-4.5-air:free,atlas-cloud/fp8,2,0,5b2c928d-7e86-44fc-977a-1c31fe697982;33ba810f-6a4c-474f-ba24-3e8e231555d0
deepseek/deepseek-chat-v3.1,deepseek,2,0,fbec0399-0ceb-4168-8f87-cda5e415de08;d5b26cfa-aa1b-430b-8137-248d7a94db5f
qwen/qwen3-235b-a22b-2507,google-vertex/us-south1,2,2,89b84b73-e965-4777-a728-3421dfaefcbe;5369c603-15de-42f2-95d3-1e9559206ff9
openai/gpt-oss-120b:free,open-inference/int8,2,0,e54e199b-d92f-4dd4-ba97-8e82ade609a1;447dca36-a2eb-4626-8675-bddd7c74a615
moonshotai/kimi-k2-0905,parasail/fp8,3,0,4f68dfd5-0882-419d-9b85-859b3f414602;0b984ed8-999a-472c-a242-89aedd6d26d9;e258c373-8af0-4cd8-b314-5fe727ac0d00
opengvlab/internvl3-78b,chutes/bf16,2,0,78355c25-ffdb-4818-854e-5c39cf024170;832d7038-1b47-4530-ba1e-ce6668e1fdfa
