month,covered_days,partial,average_listed_endpoints,listed_endpoint_days,initial,relisted,counted,unmetered_equivalent,scheduled_excluded,reporting_excluded,metadata_only,counted_per_day,counted_per_100_endpoint_days
2025-08,18.153226724537433,True,741.590570861609,13462.261769629931,813,13,68,1469,0,0,0,3.74589052579206,0.5051157165388359
2025-09,30.0,False,787.428278616899,23622.84835850697,140,15,202,0,0,0,1,6.733333333333333,0.855104333458825
2025-10,31.0,False,831.8553268578261,25787.51513259261,122,11,166,3,0,0,5,5.354838709677419,0.6437223561342446
2025-11,30.0,False,823.3517812527006,24700.553437581017,68,12,147,1,0,0,0,4.9,0.595128365732667
2025-12,31.0,False,825.5856623939666,25593.155534212965,86,9,177,3,0,0,0,5.709677419354839,0.6915911551562532
2026-01,31.0,False,819.0064953050326,25389.20135445601,76,58,293,647,0,135,0,9.451612903225806,1.1540339371430293
2026-02,28.0,False,802.0017372304881,22456.048642453665,95,29,196,22,0,0,1,7.0,0.8728160644854394
2026-03,31.0,False,778.2110265860216,24124.54182416667,96,20,167,2,0,0,0,5.387096774193548,0.6922411261411331
2026-04,30.0,False,782.1189780100299,23463.569340300895,182,26,239,0,0,0,0,7.966666666666667,1.018600352459994
2026-05,31.0,False,844.3306472681451,26174.2500653125,113,27,295,0,0,0,0,9.516129032258064,1.1270618996299329
2026-06,30.0,False,861.517124378086,25845.51373134258,144,43,397,0,0,0,1,13.233333333333333,1.536049947107696
2026-07,31.0,False,916.2717013089901,28404.422740578695,237,52,1268,0,0,0,128,40.903225806451616,4.464093537759277
2026-08,31.0,False,1053.5760635495092,32660.857970034784,387,139,1922,0,230,0,4,62.0,5.88471987405649
2026-09,7.819492627316051,True,1252.8985766610813,9797.0311829761,84,18,574,0,120,0,0,73.40629723146357,5.8589177606928144
