organization,current_endpoints,active_endpoints_30d,changed_endpoints_30d,changes_30d,listed_endpoint_days_30d,changes_per_100_endpoint_days_30d
Baidu,10,11,9,761,267.07639187500433,284.9372026697737
StreamLake,23,28,11,623,696.0833305439877,89.50077852218165
GMICloud,21,23,19,141,572.7291532754678,24.618966782747776
Novita,72,79,6,113,2116.6319635185214,5.338670205667581
Mancer 2,8,8,8,89,238.9166663888897,37.251482429079616
Decart,3,6,5,71,104.17360929398349,68.15545749176665
DigitalOcean,19,21,16,28,542.0139364930574,5.165918828797246
Inceptron,5,6,4,26,135.1319433333366,19.240454446706597
OpenInference,1,3,2,26,47.28471766203366,54.98605318072184
Morph,7,14,6,24,230.52083290509327,10.411206526345033
Io Net,5,8,7,21,134.38193899305884,15.627100008643797
Reka,5,7,7,19,134.8263832523177,14.09219734422668
Relace,4,6,3,18,91.8402886574136,19.59924153455608
OpenAI,114,122,8,16,2721.680447500094,0.5878720999262147
AkashML,6,9,8,14,179.17360862268893,7.813650742214926
NextBit,12,13,5,13,262.8194356365778,4.946361736342885
Sail Research,5,9,5,13,131.39578010416693,9.893772836307194
Together,29,42,7,13,836.5694868171519,1.553965355521196
DeepInfra,82,85,10,12,2326.9513498842744,0.5156962134423994
Google,105,105,5,9,2631.284702210691,0.3420382443769232
Phala,21,24,5,9,587.8680278587976,1.5309558563306909
Azure,75,76,8,8,2067.083300949106,0.3870187522837992
Parasail,37,44,4,8,1180.2430621759263,0.6778264796787702
Darkbloom,6,9,3,7,98.05550937500817,7.138813560417973
Wafer,4,7,4,7,106.0763871759259,6.599018109836846
Alibaba,54,57,4,6,1576.0694406481473,0.3806938860214524
Cloudflare,17,20,3,5,503.9722131481463,0.9921181901610543
Mistral,45,55,3,5,891.7430901967899,0.5606996067551921
Chutes,6,7,1,4,181.91666526620588,2.1988089953972283
Fireworks,22,27,4,4,386.03469046297727,1.036176307161084
Ambient,1,4,3,3,85.95138949073575,3.490344970308309
AtlasCloud,30,32,3,3,860.7569304861156,0.3485304496248133
ModelRun,3,4,2,3,88.50694210648261,3.389564624649107
Venice,33,36,3,3,959.1388918865803,0.3127805602897766
Google AI Studio,48,48,2,2,815.8889129167078,0.24513141045761158
Makora,4,6,1,2,52.98611063657811,3.774574083607737
SiliconFlow,39,40,2,2,1123.2777737615809,0.17805034931853875
Amazon Bedrock,50,54,1,1,1481.1319429398163,0.06751592960821273
Friendli,7,7,1,1,172.38888809028046,0.5800837925680556
Inception,2,3,1,1,37.21527704861153,2.6870685355741806
Nebius,9,16,1,1,338.9097264699003,0.2950638243452164
AI21,0,1,0,0,9.868062060182845,0.0
AionLabs,4,4,0,0,120.0,0.0
Amazon Nova,0,0,0,0,0,0
Anthropic,25,34,0,0,775.7569412152745,0.0
Arcee AI,1,1,0,0,30.0,0.0
Avian,0,0,0,0,0.0,0
BaseTen,24,24,0,0,414.30554686343226,0.0
BytePlus,0,0,0,0,0.0,0
Cerebras,2,3,0,0,67.90972254629489,0.0
Cirrascale,0,0,0,0,0,0
Clarifai,0,0,0,0,0.0,0
Claude Platform on AWS,9,9,0,0,204.55555956019572,0.0
Cohere,5,5,0,0,150.0,0.0
CoreWeave,17,24,0,0,606.8680845254521,0.0
Crucible,0,0,0,0,0,0
Crusoe,8,9,0,0,219.70139010416688,0.0
DeepSeek,3,5,0,0,99.16666465278026,0.0
DekaLLM,0,0,0,0,0.0,0
Enfer,0,0,0,0,0.0,0
Featherless,0,0,0,0,0,0
Groq,6,8,0,0,224.81944608795973,0.0
Hyperbolic,0,0,0,0,0.0,0
InferenceNet,0,0,0,0,0.0,0
Infermatic,0,0,0,0,0.0,0
Inflection,0,0,0,0,0.0,0
Ionstream,2,6,0,0,40.77778114583205,0.0
Lambda,0,0,0,0,0.0,0
Liquid,1,1,0,0,27.131936631944995,0.0
Mara,4,4,0,0,98.09027761574144,0.0
Meta,5,5,0,0,89.79847387731903,0.0
Minimax,11,11,0,0,330.0,0.0
Modal,4,4,0,0,80.18750393518971,0.0
Moonshot AI,4,5,0,0,141.74305616898118,0.0
NCompass,0,0,0,0,0.0,0
Nex AGI,2,4,0,0,59.58330736111159,0.0
Nineteen,0,0,0,0,0.0,0
Nvidia,5,8,0,0,192.48611266203778,0.0
Perceptron,1,1,0,0,30.0,0.0
Perplexity,5,5,0,0,150.0,0.0
Poolside,4,4,0,0,120.0,0.0
Sakana AI,2,2,0,0,58.67361211805708,0.0
SambaNova,7,8,0,0,201.75000174768545,0.0
Seed,6,6,0,0,175.2222184837996,0.0
Stealth,0,1,0,0,5.708332847224342,0.0
StepFun,1,1,0,0,30.0,0.0
Switchpoint,0,0,0,0,0,0
Targon,0,0,0,0,0.0,0
Tencent,5,5,0,0,96.9444349884297,0.0
Thinking Machines,2,2,0,0,35.930556180559925,0.0
Upstage,3,3,0,0,72.43055400463166,0.0
WandB,0,0,0,0,0.0,0
Xiaomi,2,2,0,0,60.0,0.0
Z.AI,13,13,0,0,364.1388879166681,0.0
xAI,25,25,0,0,459.7638513078816,0.0
