model_id,provider_tag,organization,endpoint_id,scan_at,class,meter,before_raw,after_raw,meaningful_meter_difference
openai/gpt-oss-120b,baseten/fp4,BaseTen,000e507a-4d52-4dee-927a-8ece3a7b0c28,2025-08-23T02:12:28.177Z,unmetered_equivalent,audio,0,,False
openai/gpt-oss-120b,baseten/fp4,BaseTen,000e507a-4d52-4dee-927a-8ece3a7b0c28,2025-08-26T03:11:08.780Z,unmetered_equivalent,image_output,,0,False
openai/gpt-oss-120b,baseten/fp4,BaseTen,000e507a-4d52-4dee-927a-8ece3a7b0c28,2026-01-25T23:50:00.415Z,unmetered_equivalent,image,0,,False
openai/gpt-oss-120b,baseten/fp4,BaseTen,000e507a-4d52-4dee-927a-8ece3a7b0c28,2026-01-25T23:50:00.415Z,unmetered_equivalent,image_output,0,,False
openai/gpt-oss-120b,baseten/fp4,BaseTen,000e507a-4d52-4dee-927a-8ece3a7b0c28,2026-01-25T23:50:00.415Z,unmetered_equivalent,internal_reasoning,0,,False
openai/gpt-oss-120b,baseten/fp4,BaseTen,000e507a-4d52-4dee-927a-8ece3a7b0c28,2026-01-25T23:50:00.415Z,unmetered_equivalent,request,0,,False
openai/gpt-oss-120b,baseten/fp4,BaseTen,000e507a-4d52-4dee-927a-8ece3a7b0c28,2026-01-25T23:50:00.415Z,unmetered_equivalent,web_search,0,,False
openai/gpt-oss-120b,baseten/fp4,BaseTen,000e507a-4d52-4dee-927a-8ece3a7b0c28,2026-06-17T18:30:01.620Z,counted,input_cache_read,,0.0000001,True
minimax/minimax-m2.7,mara,Mara,00366232-455a-441e-906a-4da12292f801,2026-06-01T22:50:00.117Z,counted,completion,0.0000012,0.0000024,True
minimax/minimax-m2.7,mara,Mara,00366232-455a-441e-906a-4da12292f801,2026-06-01T22:50:00.117Z,counted,prompt,0.0000003,0.0000006,True
minimax/minimax-m2.7,mara,Mara,00366232-455a-441e-906a-4da12292f801,2026-06-03T14:50:00.808Z,counted,completion,0.0000024,0.0000012,True
minimax/minimax-m2.7,mara,Mara,00366232-455a-441e-906a-4da12292f801,2026-06-03T14:50:00.808Z,counted,prompt,0.0000006,0.0000003,True
minimax/minimax-m2.7,mara,Mara,00366232-455a-441e-906a-4da12292f801,2026-06-23T16:50:00.312Z,counted,completion,0.0000012,0.00000096,True
minimax/minimax-m2.7,mara,Mara,00366232-455a-441e-906a-4da12292f801,2026-06-23T16:50:00.312Z,counted,prompt,0.0000003,0.00000024,True
minimax/minimax-m2.7,mara,Mara,00366232-455a-441e-906a-4da12292f801,2026-06-25T17:50:00.288Z,counted,completion,0.00000096,0.00000072,True
minimax/minimax-m2.7,mara,Mara,00366232-455a-441e-906a-4da12292f801,2026-06-25T17:50:00.288Z,counted,prompt,0.00000024,0.00000018,True
minimax/minimax-m2.7,mara,Mara,00366232-455a-441e-906a-4da12292f801,2026-07-09T16:50:00.363Z,counted,completion,0.00000072,0.00000096,True
minimax/minimax-m2.7,mara,Mara,00366232-455a-441e-906a-4da12292f801,2026-07-09T16:50:00.363Z,counted,prompt,0.00000018,0.00000024,True
openai/gpt-4-turbo-preview,openai,OpenAI,003933da-395a-48eb-86a3-0c4ec486d67f,2025-08-23T02:12:28.177Z,unmetered_equivalent,audio,0,,False
openai/gpt-4-turbo-preview,openai,OpenAI,003933da-395a-48eb-86a3-0c4ec486d67f,2025-08-26T03:11:08.780Z,unmetered_equivalent,image_output,,0,False
openai/gpt-4-turbo-preview,openai,OpenAI,003933da-395a-48eb-86a3-0c4ec486d67f,2026-01-14T02:50:00.373Z,unmetered_equivalent,image,0,,False
openai/gpt-4-turbo-preview,openai,OpenAI,003933da-395a-48eb-86a3-0c4ec486d67f,2026-01-14T02:50:00.373Z,unmetered_equivalent,image_output,0,,False
openai/gpt-4-turbo-preview,openai,OpenAI,003933da-395a-48eb-86a3-0c4ec486d67f,2026-01-14T02:50:00.373Z,unmetered_equivalent,internal_reasoning,0,,False
openai/gpt-4-turbo-preview,openai,OpenAI,003933da-395a-48eb-86a3-0c4ec486d67f,2026-01-14T02:50:00.373Z,unmetered_equivalent,request,0,,False
openai/gpt-4-turbo-preview,openai,OpenAI,003933da-395a-48eb-86a3-0c4ec486d67f,2026-01-14T02:50:00.373Z,unmetered_equivalent,web_search,0,,False
z-ai/glm-4.5,chutes/fp8,Chutes,00886c93-4173-44ba-8c07-1d7a6b25fa93,2025-08-23T02:12:28.177Z,unmetered_equivalent,audio,0,,False
z-ai/glm-4.5,chutes/fp8,Chutes,00886c93-4173-44ba-8c07-1d7a6b25fa93,2025-08-26T03:11:08.780Z,unmetered_equivalent,image_output,,0,False
z-ai/glm-4.5,chutes/fp8,Chutes,00886c93-4173-44ba-8c07-1d7a6b25fa93,2025-08-31T15:10:34.636Z,counted,completion,0.000000800064,0.0000013201056,True
z-ai/glm-4.5,chutes/fp8,Chutes,00886c93-4173-44ba-8c07-1d7a6b25fa93,2025-08-31T15:10:34.636Z,counted,prompt,0.0000001999188,0.00000032986602,True
z-ai/glm-4.5,chutes/fp8,Chutes,00886c93-4173-44ba-8c07-1d7a6b25fa93,2025-09-10T18:10:12.046Z,counted,completion,0.0000013201056,0.0000016499998152,True
z-ai/glm-4.5,chutes/fp8,Chutes,00886c93-4173-44ba-8c07-1d7a6b25fa93,2025-09-10T18:10:12.046Z,counted,prompt,0.00000032986602,0.000000412499802,True
z-ai/glm-4.5,chutes/fp8,Chutes,00886c93-4173-44ba-8c07-1d7a6b25fa93,2025-09-16T16:13:35.299Z,counted,completion,0.0000016499998152,0.00000165,True
z-ai/glm-4.5,chutes/fp8,Chutes,00886c93-4173-44ba-8c07-1d7a6b25fa93,2025-09-16T16:13:35.299Z,counted,prompt,0.000000412499802,0.00000041,True
